2026-07-08 08:50:58 | INFO     | __main__ |   Question Limit: 2
2026-07-08 08:50:58 | INFO     | __main__ | Initializing HybridQdrantRetriever...
2026-07-08 08:51:15 | INFO     | __main__ | Building Chunk Metadata Lookup...
2026-07-08 08:51:15 | INFO     | __main__ | Initializing gemma LLM...
2026-07-08 08:51:18 | INFO     | __main__ | Initializing Generation Pipeline...
2026-07-08 08:51:18 | INFO     | __main__ | Starting Evaluation Loop...
2026-07-08 08:52:05 | INFO     | __main__ | === Generation Evaluation Completed Successfully ===
2026-07-08 08:58:01 | INFO     | __main__ | === Starting Generation Evaluation ===
2026-07-08 08:58:01 | INFO     | __main__ | Configuration:
2026-07-08 08:58:01 | INFO     | __main__ |   Embedding Model: bge_m3
2026-07-08 08:58:01 | INFO     | __main__ |   Reranker Model: BAAI/bge-reranker-v2-m3
2026-07-08 08:58:01 | INFO     | __main__ |   LLM Model Type: gemma
2026-07-08 08:58:01 | INFO     | __main__ |   Dataset Path: /Users/samil/Desktop/ITSkillsSprintProjects/banking-regulatory-intelligence-platform/data/evaluation/gold_dataset_for_llm_generation.xlsx
2026-07-08 08:58:01 | INFO     | __main__ |   Output Directory: /Users/samil/Desktop/ITSkillsSprintProjects/banking-regulatory-intelligence-platform/results/generation/gemma
2026-07-08 08:58:01 | INFO     | __main__ |   Context Top K: 5
2026-07-08 08:58:01 | INFO     | __main__ |   Question Limit: 1
2026-07-08 08:58:01 | INFO     | __main__ | Initializing HybridQdrantRetriever...
2026-07-08 08:58:20 | INFO     | __main__ | Building Chunk Metadata Lookup...
2026-07-08 08:58:20 | INFO     | __main__ | Initializing gemma LLM...
2026-07-08 08:58:24 | INFO     | __main__ | Initializing Generation Pipeline...
2026-07-08 08:58:24 | INFO     | __main__ | Starting Evaluation Loop...
2026-07-08 08:58:45 | INFO     | __main__ | === Generation Evaluation Completed Successfully ===
2026-07-08 09:13:58 | INFO     | __main__ | === Starting Generation Evaluation ===
2026-07-08 09:13:58 | INFO     | __main__ | Configuration:
2026-07-08 09:13:58 | INFO     | __main__ |   Embedding Model: bge_m3
2026-07-08 09:13:58 | INFO     | __main__ |   Reranker Model: BAAI/bge-reranker-v2-m3
2026-07-08 09:13:58 | INFO     | __main__ |   LLM Model Type: gemma
2026-07-08 09:13:58 | INFO     | __main__ |   Dataset Path: /Users/samil/Desktop/ITSkillsSprintProjects/banking-regulatory-intelligence-platform/data/evaluation/gold_dataset_for_llm_generation.xlsx
2026-07-08 09:13:58 | INFO     | __main__ |   Output Directory: /Users/samil/Desktop/ITSkillsSprintProjects/banking-regulatory-intelligence-platform/results/generation/gemma
2026-07-08 09:13:58 | INFO     | __main__ |   Context Top K: 5
2026-07-08 09:13:58 | INFO     | __main__ |   Question Limit: 3
2026-07-08 09:13:58 | INFO     | __main__ | Initializing HybridQdrantRetriever...
2026-07-08 09:14:16 | INFO     | __main__ | Building Chunk Metadata Lookup...
2026-07-08 09:14:16 | INFO     | __main__ | Initializing gemma LLM...
2026-07-08 09:14:20 | INFO     | __main__ | Initializing Generation Pipeline...
2026-07-08 09:14:20 | INFO     | __main__ | Starting Evaluation Loop...
2026-07-08 09:17:26 | INFO     | __main__ | === Generation Evaluation Completed Successfully ===
