2026-07-03 14:46:30 | INFO     | backend.reguaz.services.chunks.chunk_reader | Read 21 chunk(s) from '/Users/samil/Desktop/ITSkillsSprintProjects/banking-regulatory-intelligence-platform/data/processed/chunks/governance_and_compliance/Daxili audit haqqında.jsonl'.
2026-07-03 14:46:30 | INFO     | backend.reguaz.services.chunks.chunk_reader | Read 111 chunk(s) from '/Users/samil/Desktop/ITSkillsSprintProjects/banking-regulatory-intelligence-platform/data/processed/chunks/governance_and_compliance/İstehlakçıların hüquqlarının müdafiəsi haqqında.jsonl'.
2026-07-03 14:46:30 | INFO     | backend.reguaz.services.chunks.chunk_reader | Read 4 chunk(s) from '/Users/samil/Desktop/ITSkillsSprintProjects/banking-regulatory-intelligence-platform/data/processed/chunks/governance_and_compliance/Nizamnamə kapitalında dövlətə məxsus səhmlər olan bankların və bank olmayan kredit təşkilatlarının idarə edilməsində dövlətin iştirakı qaydası haqqında.jsonl'.
2026-07-03 14:46:30 | INFO     | backend.reguaz.services.chunks.chunk_reader | Read 37 chunk(s) from '/Users/samil/Desktop/ITSkillsSprintProjects/banking-regulatory-intelligence-platform/data/processed/chunks/governance_and_compliance/beaf2f3b-d7c9-4377-8d69-d29758699119.jsonl'.
2026-07-03 14:46:30 | INFO     | backend.reguaz.services.chunks.chunk_reader | Read 14 chunk(s) from '/Users/samil/Desktop/ITSkillsSprintProjects/banking-regulatory-intelligence-platform/data/processed/chunks/governance_and_compliance/d6a9834a-d9f7-49f3-abff-14cd901c615d.jsonl'.
2026-07-03 14:46:30 | INFO     | backend.reguaz.services.chunks.chunk_reader | Read 7 chunk(s) from '/Users/samil/Desktop/ITSkillsSprintProjects/banking-regulatory-intelligence-platform/data/processed/chunks/governance_and_compliance/“Azərbaycan Respublikası Mərkəzi Bankının normativ xarakterli aktlarının hazırlanması və qəbul edilməsi Qaydası”nın təsdiq edilməsi barədə.jsonl'.
2026-07-03 14:46:30 | INFO     | backend.reguaz.services.chunks.chunk_reader | Read 283 chunk(s) from '/Users/samil/Desktop/ITSkillsSprintProjects/banking-regulatory-intelligence-platform/data/processed/chunks/governance_and_compliance/“Azərbaycan Respublikasının bank sistemində arxiv işinin aparılması haqqında Təlimat”ın təsdiq edilməsi barədə.jsonl'.
2026-07-03 14:46:30 | INFO     | backend.reguaz.services.chunks.chunk_reader | Read 11 chunk(s) from '/Users/samil/Desktop/ITSkillsSprintProjects/banking-regulatory-intelligence-platform/data/processed/chunks/governance_and_compliance/“Bankların yenidən təşkili haqqında Qaydalar”ın təsdiq edilməsi barədə.jsonl'.
2026-07-03 14:46:30 | INFO     | backend.reguaz.services.chunks.chunk_reader | Read 10 chunk(s) from '/Users/samil/Desktop/ITSkillsSprintProjects/banking-regulatory-intelligence-platform/data/processed/chunks/governance_and_compliance/“Kredit ittifaqına bank əməliyyatının həyata keçirilməsi üçün lisenziya verilməsi Qaydası”nın təsdiq edilməsi haqqında.jsonl'.
2026-07-03 14:46:30 | INFO     | backend.reguaz.services.chunks.chunk_reader | Read 1 chunk(s) from '/Users/samil/Desktop/ITSkillsSprintProjects/banking-regulatory-intelligence-platform/data/processed/chunks/guidance_and_methodology/Azərbaycan Respublikasının Mərkəzi Bankı - Maliyyə xidmətləri sahəsində tənzimləyici çərçivənin hazırlıq səviyyəsinin təhlili.jsonl'.
2026-07-03 14:46:30 | INFO     | backend.reguaz.services.chunks.chunk_reader | Read 18 chunk(s) from '/Users/samil/Desktop/ITSkillsSprintProjects/banking-regulatory-intelligence-platform/data/processed/chunks/guidance_and_methodology/dc1546b51b6aa6b3d92409836.jsonl'.
2026-07-03 14:46:30 | INFO     | backend.reguaz.services.chunks.chunk_reader | Read 13 chunk(s) from '/Users/samil/Desktop/ITSkillsSprintProjects/banking-regulatory-intelligence-platform/data/processed/chunks/guidance_and_methodology/feeb62eb12b5c144caa99818e.jsonl'.
2026-07-03 14:46:30 | INFO     | backend.reguaz.services.chunks.chunk_reader | Read 6 chunk(s) from '/Users/samil/Desktop/ITSkillsSprintProjects/banking-regulatory-intelligence-platform/data/processed/chunks/laws/402 _Azərbaycan Respublikasının Milli Bankı haqqında_ Azərbaycan Respublikası Qanununun tətbiq edilməsi barədə.jsonl'.
2026-07-03 14:46:30 | INFO     | backend.reguaz.services.chunks.chunk_reader | Read 204 chunk(s) from '/Users/samil/Desktop/ITSkillsSprintProjects/banking-regulatory-intelligence-platform/data/processed/chunks/laws/590-IIQ-Banklar haqqında.jsonl'.
2026-07-03 14:46:30 | INFO     | backend.reguaz.services.chunks.chunk_reader | Read 123 chunk(s) from '/Users/samil/Desktop/ITSkillsSprintProjects/banking-regulatory-intelligence-platform/data/processed/chunks/laws/802-IIQ-Azərbaycan Respublikasının Mərkəzi Bankı haqqında.jsonl'.
2026-07-03 14:46:30 | INFO     | backend.reguaz.services.chunks.chunk_reader | Read 50 chunk(s) from '/Users/samil/Desktop/ITSkillsSprintProjects/banking-regulatory-intelligence-platform/data/processed/chunks/laws/933-IIIQ-Bank olmayan kredit təşkilatları haqqında.jsonl'.
2026-07-03 14:46:30 | INFO     | backend.reguaz.services.chunks.chunk_reader | Read 114 chunk(s) from '/Users/samil/Desktop/ITSkillsSprintProjects/banking-regulatory-intelligence-platform/data/processed/chunks/laws/AZƏRBAYCAN RESPUBLİKASININ QANUNU.jsonl'.
2026-07-03 14:46:30 | INFO     | backend.reguaz.services.chunks.chunk_reader | Read 198 chunk(s) from '/Users/samil/Desktop/ITSkillsSprintProjects/banking-regulatory-intelligence-platform/data/processed/chunks/laws/Banklar Haqqında Qanun.jsonl'.
2026-07-03 14:46:30 | INFO     | backend.reguaz.services.chunks.chunk_reader | Read 8 chunk(s) from '/Users/samil/Desktop/ITSkillsSprintProjects/banking-regulatory-intelligence-platform/data/processed/chunks/laws/_Banklar haqqında_ Azərbaycan Respublikası Qanununun tətbiq edilməsi barədə.jsonl'.
2026-07-03 14:46:30 | INFO     | backend.reguaz.services.chunks.chunk_reader | Read 45 chunk(s) from '/Users/samil/Desktop/ITSkillsSprintProjects/banking-regulatory-intelligence-platform/data/processed/chunks/laws/Əmanətlərin sığortalanması haqqında.jsonl'.
